pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
1527.764274,334.022240,1576.248464,524.846585,1542.545123,290.187215,849.347633,706.468460
1528.000000,334.000000,1576.500000,526.000000,1543.000000,290.000000,975.699747,696.547870
1528.000000,334.000000,1576.500000,526.000000,1543.000000,290.000000,NaN,NaN
1528.000000,334.000000,1576.510000,526.040000,1543.000000,290.000000,NaN,NaN
1528.000000,334.000000,1577.000000,526.000000,1543.000000,290.000000,NaN,NaN
1528.000000,334.000000,1577.000000,526.000000,1543.000000,290.000000,NaN,NaN
1528.000000,334.000000,1577.000000,526.000000,1543.000000,290.000000,NaN,NaN
1528.010000,334.000000,1576.990000,525.990000,1542.990000,290.000000,NaN,NaN
1528.000000,334.080000,1576.930000,526.040000,1542.980000,290.070000,NaN,NaN
1528.090000,333.940000,1576.920000,525.900000,1542.950000,289.920000,NaN,NaN
1527.990000,333.980000,1576.020000,526.040000,1543.020000,290.010000,NaN,NaN
1527.960000,333.960000,1576.450000,525.990000,1543.010000,290.010000,NaN,NaN
1527.980000,333.970000,1575.540000,526.030000,1543.000000,289.990000,NaN,NaN
1527.980000,333.960000,1576.060000,526.060000,1543.010000,290.000000,NaN,NaN
1527.990000,333.970000,1576.060000,526.090000,1542.990000,290.030000,NaN,NaN
1527.990000,333.970000,1576.500000,526.180000,1543.010000,290.010000,NaN,NaN
1528.010000,333.970000,1576.430000,525.860000,1542.980000,289.950000,NaN,NaN
1528.020000,333.990000,1575.950000,525.960000,1543.060000,290.020000,NaN,NaN
1528.020000,333.960000,1575.910000,525.870000,1543.010000,290.000000,NaN,NaN
1528.020000,333.960000,1576.090000,526.120000,1543.010000,289.990000,NaN,NaN
1528.040000,333.970000,1576.410000,525.930000,1543.000000,289.980000,NaN,NaN
1528.190000,333.690000,1576.190000,525.640000,1543.140000,289.850000,NaN,NaN
1529.440000,333.540000,1576.230000,525.370000,1543.010000,289.830000,NaN,NaN
1529.210000,334.630000,1575.770000,525.980000,1541.410000,290.360000,NaN,NaN
1526.920000,336.260000,1575.030000,526.180000,1536.590000,291.040000,NaN,NaN
